Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size_company,Founded,Type of ownership,Industry,Sector,Revenue
Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size_company,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist - Ads Modeling,$156K - $215K (Employer est.),"About Faire
Faire is an online wholesale marketplace built on the belief that the future is local —",4.8,Faire,"San Francisco, CA",201 to 500 Employees,2017,Company - Private,Wholesale,Retail & Wholesale,Unknown / Non-Applicable
Head of Data Science Modeling,$210K (Employer est.),SentiLink is building the future of identity verification in the United States. The existing ways to,5.0,SentiLink,"San Francisco, CA",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,nan,nan,nan
"Software Engineer, Machine Learning (Grammarly for Developers)",$181K - $246K (Employer est.),Grammarly is excited to offer a remote-first hybrid working model. Team members can work primarily r,4.6,Grammarly,"San Francisco, CA",501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
"Software Engineer, Machine Learning",$220K - $300K (Employer est.),"About Us:
We're on a mission to make it possible for every person, team, and company to be able to t",4.9,Notion,"San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Data Scientist, Viral Genomics",$99K - $150K (Glassdoor est.),"South San Francisco, CA

Who We Are
Verily is a subsidiary of Alphabet that is using a data-driven a",4.0,Verily,"South San Francisco, CA",1001 to 5000 Employees,2015,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
"Data Science Manager, Product",$190K - $255K (Employer est.),"About Us:
We're on a mission to make it possible for every person, team, and company to be able to t",4.9,Notion,"San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Senior Data Scientist, Translational Bioinformatics",$159K - $162K (Employer est.),"Who we are:
Calico (Calico Life Sciences LLC) is an Alphabet-founded research and development compan",4.1,CALICO,"South San Francisco, CA",201 to 500 Employees,2013,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
Senior Data Analyst,$94K - $145K (Employer est.),"JOB DESCRIPTION
At Levi Strauss & Co, we are revolutionizing the apparel business and redefining the",4.0,Levi Strauss & Co.,"San Francisco, CA",10000+ Employees,1853,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $5 billion (USD)
Machine Learning Manager,$200K - $250K (Employer est.),Hive is the leading provider of cloud-based enterprise AI solutions to power the next wave of intell,3.8,Hive,"San Francisco, CA",10000+ Employees,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,nan
"Software Engineer, Machine Learning On-Device",$181K - $246K (Employer est.),Grammarly is excited to offer a remote-first hybrid working model. Team members can work primarily r,4.6,Grammarly,"San Francisco, CA",501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
"Machine Learning Engineer, Relevance Platform",$130K - $200K (Employer est.),"About thredUP
thredUP is transforming resale with technology and a mission to inspire a new generati",3.2,thredUP Inc,"Oakland, CA",1001 to 5000 Employees,2009,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Unknown / Non-Applicable
Machine Learning Engineer,$100.00 - $120.00 Per Hour(Employer est.),"JOB TYPE: Freelance, Contract Position (no agencies/C2C - see notes below)
LOCATION: Remote - United",4.4,Braintrust,"San Francisco, CA",Unknown,2018,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
Software Engineer 1 - Machine Learning,$89K - $140K (Glassdoor est.),Responsible for implementing various algorithms to do automated feature extraction and dataset augme,4.9,Abacus.AI,"San Francisco, CA",51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Software Engineer - Safety Machine Learning,$186K (Employer est.),Discord's goal is to build a platform for communities to flourish and for our users to safely find b,3.9,Discord,"San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
Machine Learning Engineer,$89K - $200K (Employer est.),"Welcome to Hayden AI, where the future is ours to make. From bus lane and bus stop enforcement to di",5.0,Hayden AI Technologies,"Oakland, CA",51 to 200 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD)
"Data Reporting and Analytics Consultant II, Biostatistics",$94K - $132K (Glassdoor est.),"Job Summary:


In addition to the responsibilities listed below, this entry level position is also r",3.9,Kaiser Permanente,"Oakland, CA",10000+ Employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Associate Partner of Data Science,$165K - $325K (Employer est.),"Company Description

Sia Partners is a next-generation consulting firm dedicated to creating state-o",3.9,Sia Partners,"San Francisco, CA",1001 to 5000 Employees,1999,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
"Head of Product, Machine Learning",$140K - $211K (Glassdoor est.),"Our Vision
FLYR Labs is focused on the relentless application of advanced and intuitive technologies",4.5,FLYR Labs,"San Francisco, CA",201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
"AIML - Software Engineer, Machine Learning Platform and Infrastructure",$143K - $200K (Glassdoor est.),"Summary
Posted: Feb 2, 2023
Weekly Hours: 40
Role Number:200461048
Do you want to make Siri and Appl",4.2,Apple,"San Francisco, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Senior Staff Data Scientist,$120K - $180K (Employer est.),"Want to help us, help others? We're hiring!
GoFundMe is a global community of over 100 million peopl",4.3,GoFundMe,"San Francisco, CA",201 to 500 Employees,2010,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,$91K - $148K (Glassdoor est.),"About Hive
Hive is the leading provider of cloud-based AI solutions for content understanding, trust",3.8,Hive,"San Francisco, CA",10000+ Employees,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,nan
Data Scientist (Computational Biologist),$265K - $396K (Employer est.),The Role: BigHat Biosciences is seeking an exceptional Data Scientist to join our growing team. This,4.0,BigHat Biosciences,"San Mateo, CA",1 to 50 Employees,2019,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
"Director, Machine Learning",$135K (Employer est.),"SAN FRANCISCO, CA /
ENGINEERING /
FULL-TIME
/ HYBRID
About Attentive:
Attentive® is the leader in co",3.7,Attentive Mobile,"San Francisco, CA",1001 to 5000 Employees,2016,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
Senior Data Analyst,$107K - $156K (Glassdoor est.),"This is Adyen
Adyen provides payments, data, and financial products in a single solution for custome",4.3,Adyen,"San Francisco, CA",1001 to 5000 Employees,2006,Company - Public,Financial Transaction Processing,Financial Services,$1 to $5 billion (USD)
Machine Learning Engineer,$128K - $178K (Glassdoor est.),"About This Role

About the Team
You will be part of a team whose focus is to solve cutting edge AI p",4.2,"Zoom Video Communications, Inc.","San Francisco, CA",1001 to 5000 Employees,2011,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
Manager of Data Science,$140K - $175K (Employer est.),"About the Company
Here at Sojern, we are on a mission to empower travel marketers to move travelers",4.4,Sojern,"San Francisco, CA",201 to 500 Employees,2007,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD)
Senior Health Data Analyst,$107K - $156K (Glassdoor est.),"At Nuna, our mission is to make high-quality healthcare affordable and accessible for everyone. We a",3.8,Nuna,"San Francisco, CA",51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Sr. Director, Data Science & Analytics",$116K - $168K (Glassdoor est.),"Business Unit Description:
Here's what all the hype is about Premier Nutrition Company, LLC (PNC) is",4.1,Premier Nutrition,"Emeryville, CA",51 to 200 Employees,1997,Subsidiary or Business Segment,Food & Beverage Manufacturing,Manufacturing,$500 million to $1 billion (USD)
Senior Software Engineer - Machine Learning,$245K - $335K (Employer est.),Responsible for implementing various algorithms to do automated feature extraction and dataset augme,4.9,Abacus.AI,"San Francisco, CA",51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Director, Data Science",,Circle is a global financial technology firm that enables businesses of all sizes to harness the pow,4.4,Circle,"San Francisco, CA",51 to 200 Employees,2013,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size_company,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist - Ads Modeling,$156K - $215K (Employer est.),"About Faire
Faire is an online wholesale marketplace built on the belief that the future is local —",4.8,Faire,"San Francisco, CA",201 to 500 Employees,2017,Company - Private,Wholesale,Retail & Wholesale,Unknown / Non-Applicable
Head of Data Science Modeling,$210K (Employer est.),SentiLink is building the future of identity verification in the United States. The existing ways to,5.0,SentiLink,"San Francisco, CA",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,nan,nan,nan
Senior Data Analyst,$94K - $145K (Employer est.),"JOB DESCRIPTION
At Levi Strauss & Co, we are revolutionizing the apparel business and redefining the",4.0,Levi Strauss & Co.,"San Francisco, CA",10000+ Employees,1853,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $5 billion (USD)
Machine Learning Engineer,$100.00 - $120.00 Per Hour(Employer est.),"JOB TYPE: Freelance, Contract Position (no agencies/C2C - see notes below)
LOCATION: Remote - United",4.4,Braintrust,"San Francisco, CA",Unknown,2018,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
Machine Learning Manager,$200K - $250K (Employer est.),Hive is the leading provider of cloud-based enterprise AI solutions to power the next wave of intell,3.8,Hive,"San Francisco, CA",10000+ Employees,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,nan
"Software Engineer, Machine Learning On-Device",$181K - $246K (Employer est.),Grammarly is excited to offer a remote-first hybrid working model. Team members can work primarily r,4.6,Grammarly,"San Francisco, CA",501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,$89K - $200K (Employer est.),"Welcome to Hayden AI, where the future is ours to make. From bus lane and bus stop enforcement to di",5.0,Hayden AI Technologies,"Oakland, CA",51 to 200 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD)
"Data Science Manager, Product",$190K - $255K (Employer est.),"About Us:
We're on a mission to make it possible for every person, team, and company to be able to t",4.9,Notion,"San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Senior Data Scientist, Translational Bioinformatics",$159K - $162K (Employer est.),"Who we are:
Calico (Calico Life Sciences LLC) is an Alphabet-founded research and development compan",4.1,CALICO,"South San Francisco, CA",201 to 500 Employees,2013,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
"Software Engineer, Machine Learning",$220K - $300K (Employer est.),"About Us:
We're on a mission to make it possible for every person, team, and company to be able to t",4.9,Notion,"San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"AIML - Software Engineer, Machine Learning Platform and Infrastructure",$181K - $246K (Employer est.),"Summary
Posted: Feb 2, 2023
Weekly Hours: 40
Role Number:200461048
Do you want to make Siri and Appl",4.2,Apple,"San Francisco, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
"Software Engineer, Machine Learning (Grammarly for Developers)",$186K (Employer est.),Grammarly is excited to offer a remote-first hybrid working model. Team members can work primarily r,4.6,Grammarly,"San Francisco, CA",501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Senior Software Engineer - Safety Machine Learning,$130K - $200K (Employer est.),Discord's goal is to build a platform for communities to flourish and for our users to safely find b,3.9,Discord,"San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
"Machine Learning Engineer, Relevance Platform",$265K - $396K (Employer est.),"About thredUP
thredUP is transforming resale with technology and a mission to inspire a new generati",3.2,thredUP Inc,"Oakland, CA",1001 to 5000 Employees,2009,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Unknown / Non-Applicable
"Director, Machine Learning",$120K - $180K (Employer est.),"SAN FRANCISCO, CA /
ENGINEERING /
FULL-TIME
/ HYBRID
About Attentive:
Attentive® is the leader in co",3.7,Attentive Mobile,"San Francisco, CA",1001 to 5000 Employees,2016,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
Machine Learning Engineer,$107K - $156K (Glassdoor est.),"About Hive
Hive is the leading provider of cloud-based AI solutions for content understanding, trust",3.8,Hive,"San Francisco, CA",10000+ Employees,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,nan
Machine Learning Engineer,$165K - $325K (Employer est.),"About This Role

About the Team
You will be part of a team whose focus is to solve cutting edge AI p",4.2,"Zoom Video Communications, Inc.","San Francisco, CA",1001 to 5000 Employees,2011,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
Associate Partner of Data Science,$89K - $140K (Glassdoor est.),"Company Description

Sia Partners is a next-generation consulting firm dedicated to creating state-o",3.9,Sia Partners,"San Francisco, CA",1001 to 5000 Employees,1999,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
Software Engineer 1 - Machine Learning,$207K (Employer est.),Responsible for implementing various algorithms to do automated feature extraction and dataset augme,4.9,Abacus.AI,"San Francisco, CA",51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Staff Machine Learning Engineer,$245K - $335K (Employer est.),"About the role:
Engages with stakeholders across teams to lead the design, development, optimization",4.0,Uber,"San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Machine Learning Scientist,$107K - $156K (Glassdoor est.),"About NewLimit
NewLimit is a biotechnology company working to radically extend human healthspan. We'",nan,NewLimit,"South San Francisco, CA",nan,nan,nan,nan,nan,nan
"Director, Data Science",$140K - $211K (Glassdoor est.),Circle is a global financial technology firm that enables businesses of all sizes to harness the pow,4.4,Circle,"San Francisco, CA",51 to 200 Employees,2013,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
"Sr. Director, Data Science & Analytics",$140K - $175K (Employer est.),"Business Unit Description:
Here's what all the hype is about Premier Nutrition Company, LLC (PNC) is",4.1,Premier Nutrition,"Emeryville, CA",51 to 200 Employees,1997,Subsidiary or Business Segment,Food & Beverage Manufacturing,Manufacturing,$500 million to $1 billion (USD)
"Head of Product, Machine Learning",$120K (Employer est.),"Our Vision
FLYR Labs is focused on the relentless application of advanced and intuitive technologies",4.5,FLYR Labs,"San Francisco, CA",201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
Senior Health Data Analyst,$128K - $178K (Glassdoor est.),"At Nuna, our mission is to make high-quality healthcare affordable and accessible for everyone. We a",3.8,Nuna,"San Francisco, CA",51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Data Analyst,$109K - $161K (Glassdoor est.),"An Introduction to Forage
At Forage, we believe that talent is evenly distributed, but opportunity i",4.4,Forage,"San Francisco, CA",1 to 50 Employees,2016,Company - Private,Education & Training Services,Education,Unknown / Non-Applicable
Manager of Data Science,$135K (Employer est.),"About the Company
Here at Sojern, we are on a mission to empower travel marketers to move travelers",4.4,Sojern,"San Francisco, CA",201 to 500 Employees,2007,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD)
Senior Data Analyst,$180K - $250K (Employer est.),"We believe that when passionate people are able to spend less time struggling with technology, they",3.8,Cisco Meraki,"San Francisco, CA",1001 to 5000 Employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Data Analyst,,"This is Adyen
Adyen provides payments, data, and financial products in a single solution for custome",4.3,Adyen,"San Francisco, CA",1001 to 5000 Employees,2006,Company - Public,Financial Transaction Processing,Financial Services,$1 to $5 billion (USD)
Machine Learning Engineer,,"Machine Learning Engineer - Hybrid San Francisco, CA
Our Machine Learning /AI Team is looking for a",nan,Somosotech IT Co Limited,"South San Francisco, CA",nan,nan,nan,nan,nan,nan
Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size_company,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist - Ads Modeling,$156K - $215K (Employer est.),"About Faire
Faire is an online wholesale marketplace built on the belief that the future is local —",4.8,Faire,"San Francisco, CA",201 to 500 Employees,2017,Company - Private,Wholesale,Retail & Wholesale,Unknown / Non-Applicable
Head of Data Science Modeling,$210K (Employer est.),SentiLink is building the future of identity verification in the United States. The existing ways to,5.0,SentiLink,"San Francisco, CA",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,nan,nan,nan
Senior Data Analyst,$94K - $145K (Employer est.),"JOB DESCRIPTION
At Levi Strauss & Co, we are revolutionizing the apparel business and redefining the",4.0,Levi Strauss & Co.,"San Francisco, CA",10000+ Employees,1853,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $5 billion (USD)
Machine Learning Manager,$200K - $250K (Employer est.),Hive is the leading provider of cloud-based enterprise AI solutions to power the next wave of intell,3.8,Hive,"San Francisco, CA",10000+ Employees,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,nan
Machine Learning Engineer,$100.00 - $120.00 Per Hour(Employer est.),"JOB TYPE: Freelance, Contract Position (no agencies/C2C - see notes below)
LOCATION: Remote - United",4.4,Braintrust,"San Francisco, CA",Unknown,2018,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
"Data Science Manager, Product",$190K - $255K (Employer est.),"About Us:
We're on a mission to make it possible for every person, team, and company to be able to t",4.9,Notion,"San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"AIML - Software Engineer, Machine Learning Platform and Infrastructure",$159K - $162K (Employer est.),"Summary
Posted: Feb 2, 2023
Weekly Hours: 40
Role Number:200461048
Do you want to make Siri and Appl",4.2,Apple,"San Francisco, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
"Senior Data Scientist, Translational Bioinformatics",$181K - $246K (Employer est.),"Who we are:
Calico (Calico Life Sciences LLC) is an Alphabet-founded research and development compan",4.1,CALICO,"South San Francisco, CA",201 to 500 Employees,2013,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
"Software Engineer, Machine Learning On-Device",$130K - $200K (Employer est.),Grammarly is excited to offer a remote-first hybrid working model. Team members can work primarily r,4.6,Grammarly,"San Francisco, CA",501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
"Machine Learning Engineer, Relevance Platform",$89K - $200K (Employer est.),"About thredUP
thredUP is transforming resale with technology and a mission to inspire a new generati",3.2,thredUP Inc,"Oakland, CA",1001 to 5000 Employees,2009,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Unknown / Non-Applicable
Machine Learning Engineer,$265K - $396K (Employer est.),"Welcome to Hayden AI, where the future is ours to make. From bus lane and bus stop enforcement to di",5.0,Hayden AI Technologies,"Oakland, CA",51 to 200 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD)
"Director, Machine Learning",$181K - $246K (Employer est.),"SAN FRANCISCO, CA /
ENGINEERING /
FULL-TIME
/ HYBRID
About Attentive:
Attentive® is the leader in co",3.7,Attentive Mobile,"San Francisco, CA",1001 to 5000 Employees,2016,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
"Software Engineer, Machine Learning (Grammarly for Developers)",$220K - $300K (Employer est.),Grammarly is excited to offer a remote-first hybrid working model. Team members can work primarily r,4.6,Grammarly,"San Francisco, CA",501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
"Software Engineer, Machine Learning",$186K (Employer est.),"About Us:
We're on a mission to make it possible for every person, team, and company to be able to t",4.9,Notion,"San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Software Engineer - Safety Machine Learning,$245K - $335K (Employer est.),Discord's goal is to build a platform for communities to flourish and for our users to safely find b,3.9,Discord,"San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
"Director, Data Science",$165K - $325K (Employer est.),Circle is a global financial technology firm that enables businesses of all sizes to harness the pow,4.4,Circle,"San Francisco, CA",51 to 200 Employees,2013,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
Associate Partner of Data Science,$140K - $175K (Employer est.),"Company Description

Sia Partners is a next-generation consulting firm dedicated to creating state-o",3.9,Sia Partners,"San Francisco, CA",1001 to 5000 Employees,1999,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
Senior Health Data Analyst,$207K (Employer est.),"At Nuna, our mission is to make high-quality healthcare affordable and accessible for everyone. We a",3.8,Nuna,"San Francisco, CA",51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Staff Machine Learning Engineer,$109K - $161K (Glassdoor est.),"About the role:
Engages with stakeholders across teams to lead the design, development, optimization",4.0,Uber,"San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Senior Data Analyst,$107K - $156K (Glassdoor est.),"We believe that when passionate people are able to spend less time struggling with technology, they",3.8,Cisco Meraki,"San Francisco, CA",1001 to 5000 Employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Sr. Director, Data Science & Analytics",$140K - $211K (Glassdoor est.),"Business Unit Description:
Here's what all the hype is about Premier Nutrition Company, LLC (PNC) is",4.1,Premier Nutrition,"Emeryville, CA",51 to 200 Employees,1997,Subsidiary or Business Segment,Food & Beverage Manufacturing,Manufacturing,$500 million to $1 billion (USD)
"Head of Product, Machine Learning",$135K (Employer est.),"Our Vision
FLYR Labs is focused on the relentless application of advanced and intuitive technologies",4.5,FLYR Labs,"San Francisco, CA",201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
Senior Data Analyst,$94K - $146K (Glassdoor est.),"This is Adyen
Adyen provides payments, data, and financial products in a single solution for custome",4.3,Adyen,"San Francisco, CA",1001 to 5000 Employees,2006,Company - Public,Financial Transaction Processing,Financial Services,$1 to $5 billion (USD)
"Scientist, Machine Learning",$120K (Employer est.),"Atomic AI, Inc. is a well-funded, early-stage biotech company transforming the rational design of mo",nan,Atomic AI,"South San Francisco, CA",1 to 50 Employees,2021,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
Senior Data Analyst,$89K - $140K (Glassdoor est.),"An Introduction to Forage
At Forage, we believe that talent is evenly distributed, but opportunity i",4.4,Forage,"San Francisco, CA",1 to 50 Employees,2016,Company - Private,Education & Training Services,Education,Unknown / Non-Applicable
Machine Learning Scientist,$128K - $178K (Glassdoor est.),"About NewLimit
NewLimit is a biotechnology company working to radically extend human healthspan. We'",nan,NewLimit,"South San Francisco, CA",nan,nan,nan,nan,nan,nan
Software Engineer 1 - Machine Learning,$120K - $180K (Employer est.),Responsible for implementing various algorithms to do automated feature extraction and dataset augme,4.9,Abacus.AI,"San Francisco, CA",51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Manager of Data Science,$180K - $250K (Employer est.),"About the Company
Here at Sojern, we are on a mission to empower travel marketers to move travelers",4.4,Sojern,"San Francisco, CA",201 to 500 Employees,2007,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD)
Machine Learning Engineer,,"About Hive
Hive is the leading provider of cloud-based AI solutions for content understanding, trust",3.8,Hive,"San Francisco, CA",10000+ Employees,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,nan
Machine Learning Engineer,,"Machine Learning Engineer - Hybrid San Francisco, CA
Our Machine Learning /AI Team is looking for a",nan,Somosotech IT Co Limited,"South San Francisco, CA",nan,nan,nan,nan,nan,nan
